ID,OrderNo,buyer,total,currency_code,createdAt,createdBy,modifiedAt,modifiedBy
20350083-6800-47bb-bed2-515502e060cc,OrderNo-20350083,buyer-20350083,5811648.11,USD,2004-11-24T17:00:00.000Z,createdBy.c4683@example.org,2014-10-25T17:00:00.000Z,modifiedBy.c4683@example.org
20350084-0707-473e-85b1-ff6fbec8a20e,OrderNo-20350084,buyer-20350084,6020906.2,USD,2000-06-29T17:00:00.000Z,createdBy.c4684@example.net,2007-11-06T17:00:00.000Z,modifiedBy.c4684@example.org
20350085-dd6a-46a0-9234-74a9425c2ab2,OrderNo-20350085,buyer-20350085,923479.13,USD,2010-01-26T17:00:00.000Z,createdBy.c4685@example.net,2017-11-24T17:00:00.000Z,modifiedBy.c4685@example.org
20350086-1203-4a5f-954e-58dc6a51ba28,OrderNo-20350086,buyer-20350086,1671773.15,USD,2007-08-04T17:00:00.000Z,createdBy.c4686@example.com,2018-07-07T17:00:00.000Z,modifiedBy.c4686@example.net
20350087-287b-4841-84f9-5862945e5b53,OrderNo-20350087,buyer-20350087,4591032.11,USD,2004-08-29T17:00:00.000Z,createdBy.c4687@example.org,2006-02-08T17:00:00.000Z,modifiedBy.c4687@example.com
20350088-51df-48aa-9619-f6b5381f5502,OrderNo-20350088,buyer-20350088,1647032.2,USD,2017-03-21T17:00:00.000Z,createdBy.c4688@example.com,2006-07-11T17:00:00.000Z,modifiedBy.c4688@example.com
20350089-765e-40e2-8e5b-e2ebcc4509cc,OrderNo-20350089,buyer-20350089,4625995.3,USD,2018-06-08T17:00:00.000Z,createdBy.c4689@example.com,2012-07-16T17:00:00.000Z,modifiedBy.c4689@example.org
20350090-a4e2-4f0d-87d0-b54eef89a19e,OrderNo-20350090,buyer-20350090,5884038.1,USD,2015-04-04T17:00:00.000Z,createdBy.c468a@example.com,2023-02-25T17:00:00.000Z,modifiedBy.c468a@example.org
20350091-f794-42a4-bc6a-342f6ab181d3,OrderNo-20350091,buyer-20350091,5898683.15,USD,2008-12-05T17:00:00.000Z,createdBy.c468b@example.net,2010-12-06T17:00:00.000Z,modifiedBy.c468b@example.net
20350092-c3fa-417d-a02c-a6b02a69e7ed,OrderNo-20350092,buyer-20350092,9585576.9,USD,2017-12-13T17:00:00.000Z,createdBy.c468c@example.com,2017-03-17T17:00:00.000Z,modifiedBy.c468c@example.com
20350093-9df3-43ed-bf03-e1d6dd5390f2,OrderNo-20350093,buyer-20350093,514337.29,USD,2012-07-24T17:00:00.000Z,createdBy.c468d@example.net,2005-08-05T17:00:00.000Z,modifiedBy.c468d@example.org
20350094-30ed-40f0-8e56-9f0a7b6f2a20,OrderNo-20350094,buyer-20350094,9411373.86,USD,2000-07-15T17:00:00.000Z,createdBy.c468e@example.org,2015-10-13T17:00:00.000Z,modifiedBy.c468e@example.net
20350095-1bff-4c26-b26b-03818f453199,OrderNo-20350095,buyer-20350095,6687553.87,USD,2021-01-02T17:00:00.000Z,createdBy.c468f@example.net,2014-01-25T17:00:00.000Z,modifiedBy.c468f@example.net
20350096-347e-4bc5-bbcc-7b102ae8df98,OrderNo-20350096,buyer-20350096,9970955.22,USD,2003-09-22T17:00:00.000Z,createdBy.c468g@example.org,2022-04-03T17:00:00.000Z,modifiedBy.c468g@example.org
20350097-109a-4b36-8ba0-4b86e42db500,OrderNo-20350097,buyer-20350097,2961220.27,USD,2002-01-25T17:00:00.000Z,createdBy.c468h@example.org,2009-12-30T17:00:00.000Z,modifiedBy.c468h@example.net
20350098-4761-4a5c-877c-ec3995dacdd6,OrderNo-20350098,buyer-20350098,5746144.43,USD,2016-03-06T17:00:00.000Z,createdBy.c468i@example.com,2008-03-15T17:00:00.000Z,modifiedBy.c468i@example.org
20350099-f5b7-4752-a61d-71b4de42dff4,OrderNo-20350099,buyer-20350099,4606874.24,USD,2009-05-07T17:00:00.000Z,createdBy.c468j@example.com,2013-08-01T17:00:00.000Z,modifiedBy.c468j@example.org
20350100-762e-41aa-884d-eb37548f87ef,OrderNo-20350100,buyer-20350100,835558.48,USD,2004-09-16T17:00:00.000Z,createdBy.c468k@example.net,2002-05-12T17:00:00.000Z,modifiedBy.c468k@example.com
20350101-7d91-4acc-9ac9-71af06b0a717,OrderNo-20350101,buyer-20350101,1437720.69,USD,2001-01-30T17:00:00.000Z,createdBy.c468l@example.org,2010-04-03T17:00:00.000Z,modifiedBy.c468l@example.com
20350102-5802-4c98-971a-dd8deeaba24e,OrderNo-20350102,buyer-20350102,1425399.43,USD,2000-12-15T17:00:00.000Z,createdBy.c468m@example.com,2000-08-06T17:00:00.000Z,modifiedBy.c468m@example.com
